"","type","length"
"1","exposed",18
"2","exposed",8
"3","exposed",10
"4","exposed",9
"5","exposed",8
"6","exposed",19
"7","exposed",15
"8","exposed",12
"9","exposed",14
"10","exposed",16
"11","exposed",8
"12","exposed",13
"13","exposed",7
"14","exposed",9
"15","exposed",19
"16","exposed",12
"17","exposed",15
"18","exposed",15
"19","exposed",16
"20","exposed",9
"21","exposed",14
"22","exposed",6
"23","exposed",10
"24","exposed",18
"25","exposed",13
"26","exposed",15
"27","exposed",16
"28","exposed",16
"29","exposed",9.5
"30","exposed",14
"31","exposed",6
"32","exposed",11
"33","exposed",18
"34","exposed",15
"35","exposed",19
"36","exposed",17
"37","exposed",12
"38","exposed",11
"39","exposed",15
"40","exposed",6
"41","exposed",12
"42","exposed",16
"43","exposed",15
"44","exposed",19
"45","exposed",17
"46","exposed",18.5
"47","exposed",12
"50","exposed",12
"51","exposed",14
"52","exposed",15
"54","exposed",17.5
"55","sheltered",21
"56","sheltered",9
"57","sheltered",17
"58","sheltered",10
"59","sheltered",11
"60","sheltered",24
"61","sheltered",25
"62","sheltered",16
"63","sheltered",16
"64","sheltered",13
"65","sheltered",9
"66","sheltered",17
"67","sheltered",10
"68","sheltered",11
"69","sheltered",23
"70","sheltered",15
"71","sheltered",16
"72","sheltered",18
"73","sheltered",21
"74","sheltered",11
"75","sheltered",18
"76","sheltered",10
"77","sheltered",12
"78","sheltered",19
"79","sheltered",20
"80","sheltered",17
"81","sheltered",19
"82","sheltered",21
"83","sheltered",12
"84","sheltered",18
"85","sheltered",8
"86","sheltered",12
"87","sheltered",16
"88","sheltered",11
"89","sheltered",19
"90","sheltered",19
"91","sheltered",10
"92","sheltered",12
"93","sheltered",19
"94","sheltered",8
"95","sheltered",12
"96","sheltered",16
"97","sheltered",24
"98","sheltered",22
"99","sheltered",21
"100","sheltered",18
"101","sheltered",13
"102","sheltered",20
"103","sheltered",8
"104","sheltered",14
"105","sheltered",13
